category,winRate1D,winRate3D,winRate5D,winRate10D,winRate20D,validSamples,totalWins,totalFails,trend,status
Flow Direction,0.8888888888888888,0.7777777777777777,0.7777777777777778,0.711111111111111,0.6777777777777778,180,122,58,Stable,Research
Strong Inflow,1.0,1.0,0.9166666666666666,0.8958333333333334,0.7962962962962963,60,47,13,Improving,Research
Persistent Inflow,0.6666666666666666,0.4666666666666666,0.58,0.63,0.6114285714285714,108,65,43,Weakening,Research
Flow Reversal,1.0,0.7999999999999999,0.74,0.6766666666666666,0.6849999999999999,85,57,28,Stable,Research
Outflow Risk,1.0,0.8380952380952381,0.8128571428571428,0.6764285714285714,0.6382142857142857,70,48,22,Improving,Research
