bucket,signalName,category,horizon,sampleSize,winRate,avgReturn,medianReturn,profitFactor,readyStatus,contributingTickerCount,dominantTicker,dominantTickerSamplePct,missingPriceRows,selectionReason,notes
Candidate,flow1D percentile >= 70,Strong inflow percentile,20D,153,0.6274509803921569,0.16870281086404526,0.08680797276258678,7.257820582901859,Usable,9,GOOGL,0.13725490196078433,77,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D percentile >= 80,Strong inflow percentile,1D,156,0.5833333333333334,0.014313012903458327,0.006967093196381113,2.2155662203990185,Usable,9,SOXL,0.1282051282051282,0,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D percentile >= 80,Strong inflow percentile,3D,152,0.6118421052631579,0.0265045383958868,0.017192015092530433,2.2558666781846637,Usable,9,SOXL,0.13157894736842105,4,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D percentile >= 80,Strong inflow percentile,5D,146,0.6506849315068494,0.04332330643701196,0.019745107353581703,3.145318578513843,Usable,9,SOXL,0.1232876712328767,10,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D percentile >= 80,Strong inflow percentile,10D,133,0.6541353383458647,0.09631247998623765,0.04045654877815763,6.590257834042195,Usable,9,GOOGL,0.12781954887218044,23,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D percentile >= 80,Strong inflow percentile,20D,100,0.67,0.2040675656497534,0.11004256098475651,12.31427206780797,Usable,9,SMH,0.15,56,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D percentile >= 90,Strong inflow percentile,1D,82,0.6219512195121951,0.016703750746413056,0.011183259577691174,2.3868029775224966,Usable,9,SOXL,0.12195121951219512,0,Baseline buy/long candidate,[]
Watch,flow1D percentile >= 90,Strong inflow percentile,3D,79,0.620253164556962,0.02408499487875454,0.020152374330577816,2.0465694265078027,Watch,9,SOXL,0.12658227848101267,3,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile >= 90,Strong inflow percentile,5D,74,0.6216216216216216,0.04032454333409565,0.016091753083436133,2.966105399874489,Watch,9,GOOGL,0.12162162162162163,8,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile >= 90,Strong inflow percentile,10D,65,0.6461538461538462,0.10527726084344385,0.04421259531222188,7.206181537981483,Watch,9,GOOGL,0.13846153846153847,17,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile >= 90,Strong inflow percentile,20D,38,0.7105263157894737,0.18564769555521954,0.10466528345947346,18.966798230304303,Watch,9,SMH,0.18421052631578946,44,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile <= 10,Large outflow risk,1D,73,0.4657534246575342,0.008954018236372093,-0.001240757398686787,1.7322660537198216,Watch,9,SOXL,0.1232876712328767,0,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile <= 10,Large outflow risk,3D,69,0.5362318840579711,0.02782581188346677,0.0035224606643555756,2.7378137182428595,Watch,9,SOXL,0.13043478260869565,4,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile <= 10,Large outflow risk,5D,65,0.6,0.05325519300097744,0.030292742493414515,3.1551107465795827,Watch,9,SOXL,0.13846153846153847,8,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile <= 10,Large outflow risk,10D,57,0.6491228070175439,0.08931460342045816,0.037165109465658874,8.141889064801314,Watch,9,LLY,0.12280701754385964,16,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D percentile <= 10,Large outflow risk,20D,47,0.6170212765957447,0.1300180446684115,0.07652601308474938,5.732633362783073,Watch,9,ORCL,0.14893617021276595,26,Sample size below usable threshold,['30 <= sampleSize < 80']
Candidate,flow5D percentile >= 70,Strong inflow percentile,1D,220,0.5363636363636364,0.0048779904543837785,0.0020709227267707853,1.3281537931733263,Usable,9,SOXL,0.12727272727272726,0,Baseline buy/long candidate,[]
Candidate,flow5D percentile >= 70,Strong inflow percentile,3D,214,0.5794392523364486,0.02009063506074033,0.009282374698648121,1.965856487707143,Usable,9,SOXL,0.12149532710280374,6,Strong multi-horizon buy/long candidate,[]
Candidate,flow5D percentile >= 70,Strong inflow percentile,5D,208,0.5528846153846154,0.037575331262956396,0.008601628224940594,2.628854075434708,Usable,9,SOXL,0.125,12,Strong multi-horizon buy/long candidate,[]
Candidate,flow5D percentile >= 70,Strong inflow percentile,10D,184,0.6521739130434783,0.10104159295323123,0.0390012860608312,7.075824815980946,Usable,9,GOOGL,0.125,36,Strong multi-horizon buy/long candidate,[]
Candidate,flow5D percentile >= 70,Strong inflow percentile,20D,122,0.7459016393442623,0.24532036358695639,0.1127923722415407,15.672065727207878,Usable,9,SMH,0.1885245901639344,98,Strong multi-horizon buy/long candidate,[]
Candidate,flow5D percentile >= 80,Strong inflow percentile,1D,147,0.54421768707483,0.007897583334926874,0.0019825517233904577,1.5951014039255,Usable,9,SOXL,0.1292517006802721,0,Baseline buy/long candidate,[]
Candidate,flow5D percentile >= 80,Strong inflow percentile,3D,143,0.5734265734265734,0.025965071845005357,0.009000139472908009,2.41702777364758,Usable,9,SOXL,0.1258741258741259,4,Strong multi-horizon buy/long candidate,[]
Candidate,flow5D percentile >= 80,Strong inflow percentile,5D,138,0.5797101449275363,0.04617880379668758,0.012562265120355742,3.177554484984306,Usable,9,SOXL,0.13043478260869565,9,Strong multi-horizon buy/long candidate,[]
Candidate,flow5D percentile >= 80,Strong inflow percentile,10D,123,0.7073170731707317,0.11735327693290173,0.07690161363686188,10.549799033177107,Usable,9,GOOGL,0.13008130081300814,24,Strong multi-horizon buy/long candidate,[]
Watch,flow5D percentile >= 80,Strong inflow percentile,20D,72,0.7777777777777778,0.21779726987200754,0.10986905937659552,18.879951598269777,Watch,9,SMH,0.2222222222222222,75,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile >= 90,Strong inflow percentile,1D,74,0.5405405405405406,0.01011833532703688,0.002768701489464176,1.7978121537147358,Watch,9,SOXL,0.13513513513513514,0,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile >= 90,Strong inflow percentile,3D,73,0.547945205479452,0.016964688334108798,0.005008171084311508,1.8358907367030852,Watch,9,SOXL,0.136986301369863,1,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile >= 90,Strong inflow percentile,5D,71,0.5352112676056338,0.0269501569175751,0.0010112648823987769,2.1363461837213444,Watch,9,SOXL,0.14084507042253522,3,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile >= 90,Strong inflow percentile,10D,62,0.6451612903225806,0.0885250018314223,0.027368000829478434,7.693130693655613,Watch,9,GOOGL,0.12903225806451613,12,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile >= 90,Strong inflow percentile,20D,31,0.7741935483870968,0.19524014683547117,0.0968375273471489,22.798113123057792,Watch,8,SMH,0.25806451612903225,43,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile <= 10,Large outflow risk,1D,65,0.49230769230769234,0.0021465107228338244,-0.001513752313302752,1.129363730124923,Watch,9,SOXL,0.13846153846153847,0,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile <= 10,Large outflow risk,3D,62,0.5645161290322581,0.021196218004078136,0.00920244907036849,2.580158021371539,Watch,9,SOXL,0.14516129032258066,3,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile <= 10,Large outflow risk,5D,61,0.4918032786885246,0.02365415140728722,-0.005301251709812327,2.0292563562379926,Watch,9,SOXL,0.14754098360655737,4,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile <= 10,Large outflow risk,10D,57,0.5964912280701754,0.05188898566272122,0.017262734628063603,2.8187713965283914,Watch,9,SOXL,0.15789473684210525,8,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow5D percentile <= 10,Large outflow risk,20D,51,0.6078431372549019,0.1100243680294636,0.07597664508669633,3.523813294957629,Watch,9,SOXL,0.17647058823529413,14,Sample size below usable threshold,['30 <= sampleSize < 80']
Candidate,flow20D percentile >= 70,Strong inflow percentile,1D,177,0.5819209039548022,0.009547561556822839,0.006106452319395217,1.7052750346894636,Usable,9,SOXL,0.13559322033898305,0,Strong multi-horizon buy/long candidate,[]
Candidate,flow20D percentile >= 70,Strong inflow percentile,3D,164,0.5853658536585366,0.03823887498589495,0.016733080871525585,2.9002492693071114,Usable,9,SOXL,0.13414634146341464,13,Strong multi-horizon buy/long candidate,[]
Candidate,flow20D percentile >= 70,Strong inflow percentile,5D,151,0.5894039735099338,0.060309526141903394,0.01620937074146389,3.917115141903976,Usable,9,SOXL,0.13245033112582782,26,Strong multi-horizon buy/long candidate,[]
Candidate,flow20D percentile >= 70,Strong inflow percentile,10D,118,0.6440677966101694,0.11015772145272301,0.027368000829478434,8.917566662377423,Usable,9,SMH,0.16101694915254236,59,Strong multi-horizon buy/long candidate,[]
Watch,flow20D percentile >= 70,Strong inflow percentile,20D,62,0.8064516129032258,0.328523466908598,0.16530444520550058,53.14759624310484,Watch,9,SMH,0.3064516129032258,115,Sample size below usable threshold,['30 <= sampleSize < 80']
Candidate,flow20D percentile >= 80,Strong inflow percentile,1D,120,0.5333333333333333,0.0038895511382841317,0.002051219354907041,1.2388956134221374,Usable,9,SOXL,0.13333333333333333,0,Baseline buy/long candidate,[]
Candidate,flow20D percentile >= 80,Strong inflow percentile,3D,109,0.5321100917431193,0.022246112995656542,0.004926856938710644,1.9191905968052432,Usable,9,SOXL,0.12844036697247707,11,Baseline buy/long candidate,[]
Candidate,flow20D percentile >= 80,Strong inflow percentile,5D,99,0.5353535353535354,0.04058951444564518,0.004798341391965,2.585083722895679,Usable,9,GOOGL,0.13131313131313133,21,Baseline buy/long candidate,[]
Watch,flow20D percentile >= 80,Strong inflow percentile,10D,69,0.6376811594202898,0.07078979179213851,0.02326360171917341,5.435745873126947,Watch,9,SMH,0.18840579710144928,51,Sample size below usable threshold,['30 <= sampleSize < 80']
