signalGroup,category,forwardHorizon,sampleSize,winRate,avgReturn,medianReturn,maxReturn,minReturn,avgWinner,avgLoser,profitFactor,positiveReturnCount,negativeReturnCount,missingPriceRows,readyStatus,matchedSignalRows,totalSignalRows
flow5D percentile >= 90,Strong inflow percentile,1D,74,0.5405405405405406,0.01011833532703688,0.002768701489464176,0.1936339683584518,-0.11821262944852007,0.04218173709434723,-0.027603313810975295,1.7978121537147358,40,34,0,Watch,74,753
flow5D percentile >= 90,Strong inflow percentile,3D,73,0.547945205479452,0.016964688334108798,0.005008171084311508,0.3508399720646782,-0.18531582992508333,0.06799955526824152,-0.04489575643453692,1.8358907367030852,40,33,1,Watch,74,753
flow5D percentile >= 90,Strong inflow percentile,5D,71,0.5352112676056338,0.0269501569175751,0.0010112648823987769,0.5085764581705792,-0.23650402575884366,0.09466665281069972,-0.05102641411087143,2.1363461837213444,38,33,3,Watch,74,753
flow5D percentile >= 90,Strong inflow percentile,10D,62,0.6451612903225806,0.0885250018314223,0.027368000829478434,0.7345711345935169,-0.10435226140448561,0.15771443616896866,-0.037273969691389255,7.693130693655613,40,22,12,Watch,74,753
flow5D percentile >= 90,Strong inflow percentile,20D,31,0.7741935483870968,0.19524014683547117,0.0968375273471489,1.5492485518484824,-0.10792591916187544,0.263754318982935,-0.03966558624154754,22.798113123057792,24,7,43,Watch,74,753
flow5D percentile <= 10,Large outflow risk,1D,65,0.49230769230769234,0.0021465107228338244,-0.001513752313302752,0.34219901709166867,-0.1352422233862426,0.03806429119295684,-0.03268285215728546,1.129363730124923,32,33,0,Watch,65,753
flow5D percentile <= 10,Large outflow risk,3D,62,0.5645161290322581,0.021196218004078136,0.00920244907036849,0.49605490989100787,-0.07779626779763849,0.061309504715168626,-0.0308024869917799,2.580158021371539,35,27,3,Watch,65,753
flow5D percentile <= 10,Large outflow risk,5D,61,0.4918032786885246,0.02365415140728722,-0.005301251709812327,0.6868159832413527,-0.15617645488065834,0.09482641018854915,-0.04522222805845013,2.0292563562379926,30,31,4,Watch,65,753
flow5D percentile <= 10,Large outflow risk,10D,57,0.5964912280701754,0.05188898566272122,0.017262734628063603,0.5964621280864435,-0.1698523786223768,0.13481954591188114,-0.07070401644473258,2.8187713965283914,34,23,8,Watch,65,753
flow5D percentile <= 10,Large outflow risk,20D,51,0.6078431372549019,0.1100243680294636,0.07597664508669633,0.9895947479458571,-0.2611315720139695,0.25272780819805424,-0.11116596423185192,3.523813294957629,31,20,14,Watch,65,753
